ticker,source_etf,country_code,region,section,weight,shares,price,shares_corrected,market_cap_corrected
226950,WLS,KQ,,Health Care,0.001049,16.143,96300.0,16143.0,1554570900.0
039200,WLS,KQ,,Health Care,0.001024,33.474,45300.0,33474.0,1516372200.0
140410,WLS,KQ,,Health Care,0.000988,21.304,68700.0,21304.0,1463584800.0
NTC,WLS,SJ,,Health Care,0.000957,1191.598,1442.0,1191598.0,1718284316.0
145020,WLS,KQ,,Health Care,0.000943,5.078,275000.0,5078.0,1396450000.0
LHC,WLS,SJ,,Health Care,0.000896,1332.018,1207.0,1332018.0,1607745726.0
302440,WLS,KP,,Health Care,0.000798,25.673,46050.0,25673.0,1182241650.0
214150,WLS,KQ,,Health Care,0.000777,23.591,48800.0,23591.0,1151240800.0
237690,WLS,KQ,,Health Care,0.000758,12.441,90300.0,12441.0,1123422300.0
068760,WLS,KQ,,Health Care,0.000747,20.568,53800.0,20568.0,1106558400.0
007390,WLS,KQ,,Health Care,0.000737,53.118,20550.0,53118.0,1091574900.0
009420,WLS,KP,,Health Care,0.000693,29.393,34950.0,29393.0,1027285350.0
MIKA,WLS,IJ,,Health Care,0.000691,4796.499,2490.0,4796499.0,11943282510.0
358570,WLS,KQ,,Health Care,0.000687,51.538,19760.0,51538.0,1018390880.0
HEAL,WLS,IJ,,Health Care,0.000439,4790.201,1585.0,4790201.0,7592468585.0
CARE,WLS,IJ,,Health Care,0.000257,14806.592,300.0,14806592.0,4441977600.0
TSPC,WLS,IJ,,Health Care,6.6e-05,461.438,2460.0,461438.0,1135137480.0
META,WLS,UW,,Communication Services,1.526242,2169.106,733.51,2169106.0,1591060942.06
GOOGL,WLS,UW,,Communication Services,1.343088,5796.911,241.53,5796911.0,1400127913.83
GOOG,WLS,UW,,Communication Services,1.081069,4652.91,242.21,4652910.0,1126981331.1000001
700,WLS,HK,,Communication Services,0.489067,6089.795,651.5,6089795.0,3967501442.5
9984,WLS,JT,,Communication Services,0.134131,959.086,22245.0,959086.0,21334868070.0
7974,WLS,JT,,Communication Services,0.089895,1154.518,12385.0,1154518.0,14298705430.0
BHARTI,WLS,IS,,Communication Services,0.055454,2643.763,1939.9,2643763.0,5128635843.7
9432,WLS,JT,,Communication Services,0.048761,50758.684,152.8,50758684.0,7755926915.200001
9433,WLS,JT,,Communication Services,0.044458,3003.387,2354.5,3003387.0,7071474691.5
9434,WLS,JT,,Communication Services,0.037952,28090.701,214.9,28090701.0,6036691644.900001
VOD,WLS,LN,,Communication Services,0.022237,20194.363,86.44,20194363.0,1745600737.72
035420,WLS,KP,,Communication Services,0.020645,114.338,267500.0,114338.0,30585415000.0
BT/A,WLS,LN,,Communication Services,0.019717,8364.307,185.05,8364307.000000001,1547815010.3500004
INF,WLS,LN,,Communication Services,0.015426,1301.583,930.4,1301583.0,1210992823.2
MTN,WLS,SJ,,Communication Services,0.01396,1624.154,15431.0,1624154.0,25062320374.0
9766,WLS,JT,,Communication Services,0.013395,95.393,22335.0,95393.0,2130602655.0
035720,WLS,KP,,Communication Services,0.01162,277.217,62100.0,277217.0,17215175700.0
9697,WLS,JT,,Communication Services,0.008879,330.358,4275.0,330358.0,1412280450.0
TLKM,WLS,IJ,,Communication Services,0.008327,47373.012,3040.0,47373012.0,144013956480.0
3659,WLS,JT,,Communication Services,0.007956,388.085,3261.0,388085.0,1265545185.0
4689,WLS,JT,,Communication Services,0.007615,2623.474,461.7,2623474.0,1211257945.8
030200,WLS,KP,,Communication Services,0.00665,197.625,49850.0,197625.0,9851606250.0
9602,WLS,JT,,Communication Services,0.006319,102.913,9767.0,102913.0,1005151271.0
259960,WLS,KP,,Communication Services,0.006193,30.382,302000.0,30382.0,9175364000.0
VOD,WLS,SJ,,Communication Services,0.004452,586.684,13625.0,586684.0,7993569500.0
017670,WLS,KP,,Communication Services,0.004281,116.152,54600.0,116152.0,6341899200.0
BEZQ,WLS,IT,,Communication Services,0.003921,1981.432,671.9,1981432.0,1331324160.8
ZAIN,WLS,KK,,Communication Services,0.003617,2234.883,518.0,2234883.0,1157669394.0
352820,WLS,KP,,Communication Services,0.003386,18.408,272500.0,18408.0,5016180000.0
032640,WLS,KP,,Communication Services,0.00234,228.524,15170.0,228524.0,3466709080.0
036570,WLS,KP,,Communication Services,0.001927,13.157,217000.0,13157.0,2855069000.0
EMTK,WLS,IJ,,Communication Services,0.001897,23026.916,1425.0,23026916.0,32813355300.0
EXCL,WLS,IJ,,Communication Services,0.001683,10780.688,2700.0,10780688.0,29107857600.0
MCG,WLS,SJ,,Communication Services,0.001495,225.664,11896.0,225664.0,2684498944.0
035900,WLS,KQ,,Communication Services,0.001303,25.703,75100.0,25703.0,1930295300.0
FILM,WLS,IJ,,Communication Services,0.00119,4819.146,4270.0,4819146.0,20577753420.0
WIFI,WLS,IJ,,Communication Services,0.000907,3993.498,3930.0,3993498.0,15694447140.0
041510,WLS,KQ,,Communication Services,0.000906,10.625,126300.0,10625.0,1341937500.0
TKG,WLS,SJ,,Communication Services,0.000828,273.433,5437.0,273433.0,1486655221.0
TOWR,WLS,IJ,,Communication Services,0.000815,26840.912,525.0,26840912.0,14091478800.0
251270,WLS,KP,,Communication Services,0.000805,20.552,58000.0,20552.0,1192016000.0
030000,WLS,KP,,Communication Services,0.000791,57.439,20400.0,57439.0,1171755600.0
263750,WLS,KQ,,Communication Services,0.000709,29.672,35400.0,29672.0,1050388800.0
122870,WLS,KQ,,Communication Services,0.000701,10.434,99600.0,10434.0,1039226400.0
ISAT,WLS,IJ,,Communication Services,0.000587,5215.152,1945.0,5215152.0,10143470640.0
MTEL,WLS,IJ,,Communication Services,0.000544,16492.447,570.0,16492447.0,9400694790.0
SCMA,WLS,IJ,,Communication Services,0.000293,11355.854,446.0,11355854.0,5064710884.0
MSIN,WLS,IJ,,Communication Services,0.000258,8036.177,555.0,8036177.0,4460078235.0
ULVR,WLS,LN,,Consumer Staples,0.135125,2365.628,4484.0,2365628.0,10607475952.0
BATS,WLS,LN,,Consumer Staples,0.106935,2188.341,3836.0,2188341.0,8394476076.0
DGE,WLS,LN,,Consumer Staples,0.051383,2224.842,1813.0,2224842.0,4033638546.0
RKT,WLS,LN,,Consumer Staples,0.04963,678.978,5738.0,678978.0,3895975764.0
TSCO,WLS,LN,,Consumer Staples,0.03737,6551.031,447.8,6551031.0,2933551681.8
2914,WLS,JT,,Consumer Staples,0.033723,1093.798,4904.0,1093798.0,5363985392.0
IMB,WLS,LN,,Consumer Staples,0.032122,810.284,3112.0,810284.0,2521603808.0
ITC,WLS,IS,,Consumer Staples,0.030811,7074.274,402.8,7074274.0,2849517567.2000003
8267,WLS,JT,,Consumer Staples,0.02722,2365.914,1830.0,2365914.0,4329622620.0
3382,WLS,JT,,Consumer Staples,0.026171,2178.318,1911.0,2178318.0,4162765698.0
2802,WLS,JT,,Consumer Staples,0.025376,966.547,4176.0,966547.0,4036300272.0
HUVR,WLS,IS,,Consumer Staples,0.020616,753.955,2528.8999,753955.0,1906676724.1044998
4452,WLS,JT,,Consumer Staples,0.018012,460.54,6221.0,460540.0,2865019340.0
2502,WLS,JT,,Consumer Staples,0.016228,1467.467,1759.0,1467467.0,2581274453.0
2503,WLS,JT,,Consumer Staples,0.010911,806.265,2152.5,806265.0,1735485412.5
DMART,WLS,IS,,Consumer Staples,0.010863,232.529,4320.3999,232529.0,1004618268.3471001
SHP,WLS,SJ,,Consumer Staples,0.008333,524.517,28523.0,524517.0,14960798391.0
BID,WLS,SJ,,Consumer Staples,0.008126,329.918,44217.0,329918.0,14587984206.0
033780,WLS,KP,,Consumer Staples,0.007398,81.066,135200.0,81066.0,10960123200.0
8113,WLS,JT,,Consumer Staples,0.007142,1162.512,977.2,1162512.0,1136006726.4
4911,WLS,JT,,Consumer Staples,0.006512,396.799,2610.5,396799.0,1035843789.5
CLS,WLS,SJ,,Consumer Staples,0.004694,231.489,36401.0,231489.0,8426431089.0
278470,WLS,KP,,Consumer Staples,0.003782,21.799,257000.0,21799.0,5602343000.0
003230,WLS,KP,,Consumer Staples,0.003443,3.508,1454000.0,3508.0,5100632000.0
CENCOSUD,WLS,CC,,Consumer Staples,0.003073,1117.723,2719.8999,1117723.0,3040094675.9277
TBS,WLS,SJ,,Consumer Staples,0.002951,160.286,33052.0,160286.0,5297772872.0
271560,WLS,KP,,Consumer Staples,0.00238,33.579,105000.0,33579.0,3525795000.0
090430,WLS,KP,,Consumer Staples,0.002069,25.588,119800.0,25588.0,3065442400.0
CPIN,WLS,IJ,,Consumer Staples,0.001994,7291.615,4730.0,7291615.0,34489338950.0
BOX,WLS,SJ,,Consumer Staples,0.001867,450.325,7444.0,450325.0,3352219300.0
AVI,WLS,SJ,,Consumer Staples,0.00183,327.19,10043.0,327190.0,3285969170.0
INDF,WLS,IJ,,Consumer Staples,0.001825,4382.943,7200.0,4382943.0,31557189600.0
AMRT,WLS,IJ,,Consumer Staples,0.001786,15923.305,1940.0,15923305.0,30891211700.0
051900,WLS,KP,,Consumer Staples,0.00155,7.945,289000.0,7945.0,2296105000.0
ANDINAB,WLS,CC,,Consumer Staples,0.001486,402.652,3650.1001,402652.0,1469720105.4652
ICBP,WLS,IJ,,Consumer Staples,0.001162,2270.23,8850.0,2270230.0,20091535500.0
SPP,WLS,SJ,,Consumer Staples,0.00113,187.812,10805.0,187812.0,2029308660.0
DCP,WLS,SJ,,Consumer Staples,0.001005,534.755,3374.0,534755.0,1804263370.0
097950,WLS,KP,,Consumer Staples,0.000996,6.304,234000.0,6304.0,1475136000.0
192820,WLS,KP,,Consumer Staples,0.000921,6.671,204500.0,6671.0,1364219500.0
PMR,WLS,SJ,,Consumer Staples,0.000911,107.88,15160.0,107880.0,1635460800.0
PIK,WLS,SJ,,Consumer Staples,0.000877,527.074,2987.0,527074.0,1574370038.0
004370,WLS,KP,,Consumer Staples,0.00081,2.691,446000.0,2691.0,1200186000.0
139480,WLS,KP,,Consumer Staples,0.000759,15.238,73800.0,15238.0,1124564400.0
026960,WLS,KP,,Consumer Staples,0.000685,38.742,26200.0,38742.0,1015040400.0
UNVR,WLS,IJ,,Consumer Staples,0.000629,5725.612,1900.0,5725612.0,10878662800.0
JPFA,WLS,IJ,,Consumer Staples,0.000615,5061.779,2100.0,5061779.0,10629735900.0
JARR,WLS,IJ,,Consumer Staples,0.000529,1228.95,7450.0,1228950.0,9155677500.0
MYOR,WLS,IJ,,Consumer Staples,0.000427,3434.068,2150.0,3434068.0,7383246200.0
CMRY,WLS,IJ,,Consumer Staples,0.000411,1529.461,4650.0,1529461.0,7111993650.0
TAPG,WLS,IJ,,Consumer Staples,0.000372,3345.556,1925.0,3345556.0,6440195300.0
GGRM,WLS,IJ,,Consumer Staples,0.000307,457.552,11600.0,457552.0,5307603200.0
DSNG,WLS,IJ,,Consumer Staples,0.00027,2604.075,1790.0,2604075.0,4661294250.0
SSMS,WLS,IJ,,Consumer Staples,0.000249,2522.83,1705.0,2522830.0,4301425150.0
STAA,WLS,IJ,,Consumer Staples,0.000231,2761.639,1445.0,2761639.0,3990568355.0
NSSS,WLS,IJ,,Consumer Staples,0.000209,6706.961,540.0,6706961.0,3621758940.0
LSIP,WLS,IJ,,Consumer Staples,0.000206,2750.857,1295.0,2750857.0,3562359815.0
SIDO,WLS,IJ,,Consumer Staples,0.000204,6707.518,525.0,6707518.0,3521446950.0
AALI,WLS,IJ,,Consumer Staples,0.000176,391.006,7800.0,391006.0,3049846800.0
MIDI,WLS,IJ,,Consumer Staples,0.000175,7435.362,408.0,7435362.0,3033627696.0
CLEO,WLS,IJ,,Consumer Staples,0.000157,5219.577,520.0,5219577.0,2714180040.0
SIMP,WLS,IJ,,Consumer Staples,9.4e-05,2713.644,600.0,2713644.0,1628186400.0
RIO,WLS,LN,,Materials,0.069209,1071.174,5072.0,1071174.0,5432994528.0
