ticker,source_etf,country_code,region,section,weight,shares,price
TYL,WLS,UN,,Information Technology,0.020859,42.935,506.46
JBL,WLS,UN,,Information Technology,0.020176,102.745,204.71
ON,WLS,UW,,Information Technology,0.019916,415.477,49.97
VRSN,WLS,UW,,Information Technology,0.019909,79.23,261.95
688256,WLS,C1,,Information Technology,0.019672,117.138062,1247.08
CDW,WLS,UW,,Information Technology,0.019093,131.125,151.79
GWRE,WLS,UN,,Information Technology,0.018967,83.595,236.53
4307,WLS,JT,,Information Technology,0.018843,524.448,5715.0
ZM,WLS,UW,,Information Technology,0.018808,237.084,82.7
FFIV,WLS,UW,,Information Technology,0.018705,56.958,342.35
3711,WLS,TT,,Information Technology,0.018355,3269.087,179.0
6723,WLS,JT,,Information Technology,0.018348,1624.475,1796.5
IONQ,WLS,UN,,Information Technology,0.018302,246.186,77.5
GDDY,WLS,UN,,Information Technology,0.018166,141.532,133.8
TRMB,WLS,UW,,Information Technology,0.018041,237.499,79.19
COHR,WLS,UN,,Information Technology,0.017927,152.742,122.35
IT,WLS,UN,,Information Technology,0.017552,74.836,244.5
STMPA,WLS,FP,,Information Technology,0.017338,632.029,24.725
NTNX,WLS,UW,,Information Technology,0.017252,261.519,68.77
HLMA,WLS,LN,,Information Technology,0.01718,378.63,3562.0
SNDK,WLS,UW,,Information Technology,0.017049,137.054,129.68
GIB/A,WLS,CT,,Information Technology,0.016925,194.721,127.02
6971,WLS,JT,,Information Technology,0.016773,1339.345,1992.0
002475,WLS,C2,,Information Technology,0.016626,2030.564416,60.8
LOGN,WLS,SE,,Information Technology,0.016582,158.563,87.88
300308,WLS,C2,,Information Technology,0.01634,311.113132,390.0
2303,WLS,TT,,Information Technology,0.016246,11345.973,45.65
CHKP,WLS,UW,,Information Technology,0.015669,82.475,198.05
2345,WLS,TT,,Information Technology,0.015564,472.559,1050.0
TWLO,WLS,UN,,Information Technology,0.015125,138.357,113.96
XRO,WLS,AT,,Information Technology,0.014889,151.645,156.15
OKTA,WLS,UW,,Information Technology,0.014881,165.669,93.64
ZBRA,WLS,UW,,Information Technology,0.014444,50.394,298.79
SGE,WLS,LN,,Information Technology,0.014076,962.531,1148.0
DT,WLS,UN,,Information Technology,0.014073,300.01,48.9
HCLT,WLS,IS,,Information Technology,0.014035,867.96,1495.5
GEN,WLS,UW,,Information Technology,0.013995,539.564,27.04
2357,WLS,TT,,Information Technology,0.013748,647.403,677.0
RGTI,WLS,UR,,Information Technology,0.013712,303.432,47.11
DOCU,WLS,UW,,Information Technology,0.013663,199.619,71.35
3231,WLS,TT,,Information Technology,0.013637,2879.186,151.0
ENTG,WLS,UW,,Information Technology,0.013605,150.518,94.23
FN,WLS,UN,,Information Technology,0.013056,35.607,382.24
300502,WLS,C2,,Information Technology,0.012972,278.240169,346.2
BESI,WLS,NA,,Information Technology,0.012135,75.534,144.8
002371,WLS,C2,,Information Technology,0.011915,202.048969,437.9
MANH,WLS,UW,,Information Technology,0.011636,59.607,203.51
U,WLS,UN,,Information Technology,0.011458,306.59,38.96
285A,WLS,JT,,Information Technology,0.011444,295.492,6160.0
2383,WLS,TT,,Information Technology,0.011358,293.197,1235.0
2301,WLS,TT,,Information Technology,0.011284,2103.779,171.0
SNX,WLS,UN,,Information Technology,0.011048,73.562,156.56
SWKS,WLS,UW,,Information Technology,0.010557,149.446,73.64
AKAM,WLS,UW,,Information Technology,0.010372,143.206,75.5
LITE,WLS,UW,,Information Technology,0.010261,66.958,159.76
IOT,WLS,UN,,Information Technology,0.010208,265.574,40.07
WTC,WLS,AT,,Information Technology,0.010073,187.087,85.63
RMBS,WLS,UW,,Information Technology,0.010054,106.169,98.72
992,WLS,HK,,Information Technology,0.010015,6637.834,12.24
6920,WLS,JT,,Information Technology,0.010006,78.694,20225.0
RBRK,WLS,UN,,Information Technology,0.009834,119.062,86.1
3017,WLS,TT,,Information Technology,0.009832,267.905,1170.0
4684,WLS,JT,,Information Technology,0.009823,309.407,5050.0
QBTS,WLS,UN,,Information Technology,0.009774,290.542,35.07
6669,WLS,TT,,Information Technology,0.009735,92.098,3370.0
LSCC,WLS,UW,,Information Technology,0.009658,135.002,74.58
2327,WLS,TT,,Information Technology,0.009521,1654.16,183.5
OTEX,WLS,CT,,Information Technology,0.009292,245.982,55.2
DOX,WLS,UW,,Information Technology,0.008727,111.219,81.8
300476,WLS,C2,,Information Technology,0.008657,241.552819,266.14
MKSI,WLS,UW,,Information Technology,0.008583,66.643,134.26
NICE,WLS,IT,,Information Technology,0.008526,63.25,45770.0
IDCC,WLS,UW,,Information Technology,0.008463,25.328,348.32
TECHM,WLS,IS,,Information Technology,0.008443,535.865,1457.2
9660,WLS,HK,,Information Technology,0.008363,7471.618,9.08
MTSI,WLS,UW,,Information Technology,0.008171,64.051,132.98
3661,WLS,TT,,Information Technology,0.008149,73.908,3515.0
006400,WLS,KP,,Information Technology,0.008113,58.063,207000.0
PCOR,WLS,UN,,Information Technology,0.008093,112.894,74.73
20,WLS,HK,,Information Technology,0.008062,24680.48,2.65
QRVO,WLS,UW,,Information Technology,0.007943,91.892,90.11
DSG,WLS,CT,,Information Technology,0.007931,85.091,136.2
000063,WLS,C2,,Information Technology,0.007898,1127.849058,52.0
EPAM,WLS,UN,,Information Technology,0.007889,54.634,150.53
LIF,WLS,UW,,Information Technology,0.007859,76.188,107.53
NVMI,WLS,UW,,Information Technology,0.007824,25.168,324.06
1347,WLS,HK,,Information Technology,0.007822,776.248,81.75
2379,WLS,TT,,Information Technology,0.007817,449.032,555.0
4062,WLS,JT,,Information Technology,0.007725,123.496,9950.0
2059,WLS,TT,,Information Technology,0.007712,65.651,3745.0
MNDY,WLS,UW,,Information Technology,0.007548,41.282,190.61
7735,WLS,JT,,Information Technology,0.007519,86.51,13825.0
CGNX,WLS,UW,,Information Technology,0.007476,167.357,46.57
TSEM,WLS,IT,,Information Technology,0.007468,103.24,24560.0
WPRO,WLS,IS,,Information Technology,0.007457,2773.035,248.7
CVLT,WLS,UW,,Information Technology,0.007362,43.476,176.52
3034,WLS,TT,,Information Technology,0.007279,547.333,424.0
TNE,WLS,AT,,Information Technology,0.007237,289.403,39.77
BSY,WLS,UW,,Information Technology,0.00717,147.361,50.725
WIX,WLS,UW,,Information Technology,0.007152,53.744,138.72
ESTC,WLS,UN,,Information Technology,0.007132,91.167,81.55
PATH,WLS,UN,,Information Technology,0.007053,397.231,18.51
RIOT,WLS,UR,,Information Technology,0.007042,329.485,22.28
AUR,WLS,UW,,Information Technology,0.007032,1342.65,5.46
2382,WLS,HK,,Information Technology,0.006984,669.736,84.6
688012,WLS,C1,,Information Technology,0.006918,175.320687,293.0
6841,WLS,JT,,Information Technology,0.006915,245.689,4477.0
MARA,WLS,UR,,Information Technology,0.006906,356.376,20.2
NEM,WLS,GY,,Information Technology,0.006884,56.71,109.4
009150,WLS,KP,,Information Technology,0.0067,47.151,210500.0
2360,WLS,TT,,Information Technology,0.006543,335.364,622.0
603501,WLS,C1,,Information Technology,0.006509,340.822658,141.82
VRNS,WLS,UW,,Information Technology,0.00648,106.878,63.2
688008,WLS,C1,,Information Technology,0.006478,320.540996,150.06
KD,WLS,UN,,Information Technology,0.006471,226.674,29.76
3626,WLS,JT,,Information Technology,0.006441,210.361,4870.0
SOUN,WLS,UQ,,Information Technology,0.00644,361.355,18.58
AEIS,WLS,UW,,Information Technology,0.006424,37.207,179.98
CRWV,WLS,UW,,Information Technology,0.006412,46.716,143.08
SANM,WLS,UW,,Information Technology,0.00641,51.261,130.35
ONTO,WLS,UN,,Information Technology,0.006346,48.431,136.6
3037,WLS,TT,,Information Technology,0.006298,1247.084,161.0
ELM,WLS,AB,,Information Technology,0.006277,26.392,930.0
2449,WLS,TT,,Information Technology,0.006275,1136.595,176.0
7701,WLS,JT,,Information Technology,0.006219,254.826,3882.0
SITM,WLS,UQ,,Information Technology,0.006181,20.789,309.94
NXT,WLS,AT,,Information Technology,0.006155,603.177,16.23
CRUS,WLS,UW,,Information Technology,0.006098,50.944,124.78
4704,WLS,JT,,Information Technology,0.006081,124.332,7779.0
300433,WLS,C2,,Information Technology,0.005994,1395.176208,31.9
OLED,WLS,UW,,Information Technology,0.005993,43.955,142.14
APLD,WLS,UW,,Information Technology,0.00599,213.193,29.29
LFUS,WLS,UW,,Information Technology,0.00595,24.249,255.78
3008,WLS,TT,,Information Technology,0.00593,76.546,2470.0
GTLB,WLS,UW,,Information Technology,0.005834,129.784,46.86
ARW,WLS,UN,,Information Technology,0.005824,51.534,117.81
CFLT,WLS,UW,,Information Technology,0.005801,251.144,24.08
000725,WLS,C2,,Information Technology,0.005774,10281.878975,4.17
SMTC,WLS,UW,,Information Technology,0.005745,85.509,70.04
COFORGE,WLS,IS,,Information Technology,0.005722,307.238,1722.3
PSYS,WLS,IS,,Information Technology,0.005721,98.755,5357.7002
268,WLS,HK,,Information Technology,0.005715,2842.802,16.31
8069,WLS,TT,,Information Technology,0.005698,772.997,235.0
VNT,WLS,UN,,Information Technology,0.005582,146.905,39.61
ITRI,WLS,UW,,Information Technology,0.005463,44.981,126.61
002916,WLS,C2,,Information Technology,0.00545,186.687424,216.79
S,WLS,UN,,Information Technology,0.005403,312.915,18.0
603986,WLS,C1,,Information Technology,0.005384,185.936573,215.02
DBX,WLS,UW,,Information Technology,0.00537,191.905,29.17
TTMI,WLS,UW,,Information Technology,0.005355,98.761,56.52
002463,WLS,C2,,Information Technology,0.005278,538.640169,72.76
CLSK,WLS,UR,,Information Technology,0.005259,272.895,20.09
601012,WLS,C1,,Information Technology,0.005258,2121.854053,18.4
688111,WLS,C1,,Information Technology,0.005187,129.690201,297.0
ACIW,WLS,UW,,Information Technology,0.005184,103.182,52.38
SXS,WLS,LN,,Information Technology,0.005161,99.1,4088.0
600183,WLS,C1,,Information Technology,0.005159,680.19362,56.32
6645,WLS,JT,,Information Technology,0.005149,187.43,4370.0
PI,WLS,UW,,Information Technology,0.005109,25.898,205.64
3653,WLS,TT,,Information Technology,0.005058,70.111,2300.0
CCCS,WLS,UW,,Information Technology,0.005039,563.59,9.32
TTAN,WLS,UW,,Information Technology,0.005,51.35,101.5
PEGA,WLS,UW,,Information Technology,0.004958,91.909,56.23
BMI,WLS,UN,,Information Technology,0.004884,29.325,173.62
002230,WLS,C2,,Information Technology,0.004879,647.273922,55.97
5274,WLS,TT,,Information Technology,0.004827,27.046,5690.0
2376,WLS,TT,,Information Technology,0.004811,512.99,299.0
CWAN,WLS,UN,,Information Technology,0.004797,278.62,17.95
6963,WLS,JT,,Information Technology,0.004751,336.495,2246.0
002384,WLS,C2,,Information Technology,0.004743,512.850108,68.67
CORZ,WLS,UW,,Information Technology,0.004723,272.935,18.04
002241,WLS,C2,,Information Technology,0.004722,977.618818,35.87
3044,WLS,TT,,Information Technology,0.004695,482.105,310.5
RAL,WLS,UN,,Information Technology,0.004682,112.931,43.22
300394,WLS,C2,,Information Technology,0.004637,217.676449,158.2
7752,WLS,JT,,Information Technology,0.004628,545.681,1349.0
APPF,WLS,UQ,,Information Technology,0.004622,20.882,230.72
CIFR,WLS,UW,,Information Technology,0.004616,267.492,17.99
2395,WLS,TT,,Information Technology,0.004586,447.808,326.5
BILL,WLS,UN,,Information Technology,0.004569,93.275,51.07
6525,WLS,JT,,Information Technology,0.004535,162.28,4445.0
QLYS,WLS,UW,,Information Technology,0.004463,35.852,129.78
6845,WLS,JT,,Information Technology,0.00445,501.336,1412.0
ENPH,WLS,UQ,,Information Technology,0.004448,126.305,36.71
MIR,WLS,UN,,Information Technology,0.004412,196.657,23.39
002938,WLS,C2,,Information Technology,0.004403,603.853,54.15
BOX,WLS,UN,,Information Technology,0.004402,138.933,33.03
FROG,WLS,UW,,Information Technology,0.004308,93.857,47.85
BDC,WLS,UN,,Information Technology,0.00425,38.85,114.05
002600,WLS,C2,,Information Technology,0.004239,1962.290957,16.04
VSAT,WLS,UW,,Information Technology,0.004236,124.319,35.52
4768,WLS,JT,,Information Technology,0.004203,223.649,2989.0
9698,WLS,HK,,Information Technology,0.004191,941.355,36.12
3529,WLS,TT,,Information Technology,0.004172,65.354,2035.0
WULF,WLS,UR,,Information Technology,0.004169,319.826,13.59
8299,WLS,TT,,Information Technology,0.004163,150.49,882.0
HUT,WLS,CT,,Information Technology,0.004146,93.12,65.07
WK,WLS,UN,,Information Technology,0.004133,49.465,87.11
2344,WLS,TT,,Information Technology,0.004083,2996.176,43.45
SLAB,WLS,UW,,Information Technology,0.004078,31.708,134.06
4938,WLS,TT,,Information Technology,0.004075,1801.88,72.1
2324,WLS,TT,,Information Technology,0.004067,4019.977,32.25
AVT,WLS,UW,,Information Technology,0.004058,83.05,50.94
DLB,WLS,UN,,Information Technology,0.00405,60.233,70.09
LTIM,WLS,IS,,Information Technology,0.004034,68.187,5471.5
TEMN,WLS,SE,,Information Technology,0.00398,50.516,66.2
9719,WLS,JT,,Information Technology,0.003921,144.261,4323.0
763,WLS,HK,,Information Technology,0.003916,755.209,42.06
2368,WLS,TT,,Information Technology,0.003906,286.903,434.0
6448,WLS,JT,,Information Technology,0.003884,243.081,2541.5
SPSC,WLS,UW,,Information Technology,0.003874,37.46,107.82
6223,WLS,TT,,Information Technology,0.003872,72.194,1710.0
000977,WLS,C2,,Information Technology,0.003867,412.197834,69.66
IDR,WLS,SQ,,Information Technology,0.003842,86.173,40.18
3443,WLS,TT,,Information Technology,0.003839,80.783,1515.0
6488,WLS,TT,,Information Technology,0.003836,246.839,495.5
TOTS3,WLS,BS,,Information Technology,0.003831,503.078,42.58
285,WLS,HK,,Information Technology,0.003793,742.821,41.42
OSIS,WLS,UW,,Information Technology,0.003789,15.827,249.57
688036,WLS,C1,,Information Technology,0.00377,319.298162,87.67
PLXS,WLS,UW,,Information Technology,0.003755,26.587,147.25
PONY,WLS,UW,,Information Technology,0.003742,175.389489,22.24
600438,WLS,C1,,Information Technology,0.003699,1260.556105,21.79
688521,WLS,C1,,Information Technology,0.003687,147.199716,186.01
018260,WLS,KP,,Information Technology,0.003676,32.126,169500.0
2356,WLS,TT,,Information Technology,0.003662,2518.808,46.35
3436,WLS,JT,,Information Technology,0.003641,349.448,1657.5
3533,WLS,TT,,Information Technology,0.003617,76.869,1500.0
LAGRB,WLS,SS,,Information Technology,0.003608,168.426,212.6
NOVT,WLS,UW,,Information Technology,0.003607,35.664,105.42
2018,WLS,HK,,Information Technology,0.003603,675.099,43.3
QTWO,WLS,UN,,Information Technology,0.003599,59.24,63.33
3481,WLS,TT,,Information Technology,0.003597,7398.181,15.5
ZETA,WLS,UN,,Information Technology,0.003583,183.365,20.37
6806,WLS,JT,,Information Technology,0.003582,29.306,19440.0
